cod_lmi;SIRSUP;rang;UAT;SIRUTA;localitate;SIRINF;sector;adresa;strada_nume;strada_numar;cod_lmi_jud;cod_lmi_nat;cod_lmi_grupa;cod_lmi_val;cod_lmi_num;tip_patrimoniu;program;tip_monument;denumire;observatii_adresa;fotografiat;Inexistent;constructie_noua;stare;observatii;observatii_corina;datare;x;y
B-II-m-A-18221;403;municipiu;BUCUREȘTI;179132;BUCUREȘTI;179169;Sector 3;Bd. Brătianu I. C. 2 sector 3;Bd. Brătianu I. C.;2;B;II;m;A;18221;;;;Palatul Suțu;;DA;NU;NU;REABILITAT;.;;1830, sf. sec. XIX;26.1022948541851;44.4346857014637
B-II-m-B-18222;403;municipiu;BUCUREȘTI;179132;BUCUREȘTI;179169;Sector 3;Bd. Brătianu I. C. 10 sector 3;Bd. Brătianu I. C.;10;B;II;m;B;18222;;;;Imobil;;;;;;;;sf. sec. XIX;26.1028968724;44.4334810258185
B-II-m-B-18223;403;municipiu;BUCUREȘTI;179132;BUCUREȘTI;179169;Sector 3;Bd. Brătianu I. C. 18 sector 3;Bd. Brătianu I. C.;18;B;II;m;B;18223;;;;Imobil;;DA;NU;NU;DEGRADAT;.;;sf. sec. XIX;26.1030822279225;44.4327599414183
B-II-m-B-18224;403;municipiu;BUCUREȘTI;179132;BUCUREȘTI;179169;Sector 3;Bd. Brătianu I. C. 21 sector 3;Bd. Brătianu I. C.;21;B;II;m;B;18224;;;;Imobil;;DA;NU;NU;DEGRADAT;.;nu e clar unde e, trebuie neaparat verificat;sf. sec. XIX;26.1040226186562;44.4313201145914
B-II-m-A-18225;403;municipiu;BUCUREȘTI;179132;BUCUREȘTI;179169;Sector 3;Bd. Brătianu I. C. 49 sector 3;Bd. Brătianu I. C.;49;B;II;m;A;18225;;;;"Biserica ""Sf. Gheorghe Nou""";;DA;NU;NU;CONSERVAT;.;pare ca numarul 49 e gresit. De verificat;1705, sec. XVI - XX;26.104604716646;44.4325508380779
B-II-m-B-18226;403;municipiu;BUCUREȘTI;179132;BUCUREȘTI;179141;Sector 1;Str. Brezoianu Ion 1 sector 1;Str. Brezoianu Ion;1;B;II;m;B;18226;;;;Casă;;DA;NU;NU;DEGRADAT;.;;sf. sec. XIX - prima jum. sec. XX;26.0924923932547;44.4387674773886
B-II-m-B-18227;403;municipiu;BUCUREȘTI;179132;BUCUREȘTI;179141;Sector 1;Str. Brezoianu Ion 5 sector 1;Str. Brezoianu Ion;5;B;II;m;B;18227;;;;Casă;;DA;NU;NU;DEGRADAT;.;;sf. sec. XIX - prima jum. sec. XX;26.0945432789612;44.4335372279689
B-II-m-B-18228;403;municipiu;BUCUREȘTI;179132;BUCUREȘTI;179141;Sector 1;Str. Brezoianu Ion 12 sector 1;Str. Brezoianu Ion;12;B;II;m;B;18228;;;;Casă;;DA;NU;NU;DEGRADAT;.;;sf. sec. XIX - prima jum. sec. XX;26.0948203452938;44.4343513051361
B-II-m-B-18229;403;municipiu;BUCUREȘTI;179132;BUCUREȘTI;179141;Sector 1;Str. Brezoianu Ion 53 sector 1;Str. Brezoianu Ion;53;B;II;m;B;18229;;;;Imobil;;DA;NU;NU;PUTERNIC DEGRADAT;.;;1935 - 1940;26.0927318;44.4383812
B-II-m-B-18230;403;municipiu;BUCUREȘTI;179132;BUCUREȘTI;179178;Sector 4;Str. Bucur 5 sector 4;Str. Bucur;5;B;II;m;B;18230;;;;Casă;;DA;NU;NU;CONSERVAT;.;;sf. sec. XIX - prima jum. sec. XX;26.1069347492059;44.4213124828604
